fastq_r1,fastq_r2,strain,subpool,plate,lane
/dfs7/samlab/seyedam/IGVF/igvf_017/nextseq/017_67A_S1_L001_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_017/nextseq/017_67A_S1_L001_R2_001.fastq.gz,129S1_SvImJ,67A,igvf_017,L1
/dfs7/samlab/seyedam/IGVF/igvf_017/nextseq/017_67A_S1_L002_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_017/nextseq/017_67A_S1_L002_R2_001.fastq.gz,129S1_SvImJ,67A,igvf_017,L1
/dfs7/samlab/seyedam/IGVF/igvf_017/nextseq/017_67O_S2_L001_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_017/nextseq/017_67O_S2_L001_R2_001.fastq.gz,129S1_SvImJ,67O,igvf_017,L1
/dfs7/samlab/seyedam/IGVF/igvf_017/nextseq/017_67O_S2_L002_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_017/nextseq/017_67O_S2_L002_R2_001.fastq.gz,129S1_SvImJ,67O,igvf_017,L1
/dfs7/samlab/seyedam/IGVF/igvf_017/nextseq2/017_67B_S1_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_017/nextseq2/017_67B_S1_R2_001.fastq.gz,129S1_SvImJ,67B,igvf_017,L1
/dfs7/samlab/seyedam/IGVF/igvf_017/nextseq2/017_67C_S2_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_017/nextseq2/017_67C_S2_R2_001.fastq.gz,129S1_SvImJ,67C,igvf_017,L1
/dfs7/samlab/seyedam/IGVF/igvf_017/nextseq2/017_67D_S3_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_017/nextseq2/017_67D_S3_R2_001.fastq.gz,129S1_SvImJ,67D,igvf_017,L1
/dfs7/samlab/seyedam/IGVF/igvf_017/nextseq2/017_67E_S4_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_017/nextseq2/017_67E_S4_R2_001.fastq.gz,129S1_SvImJ,67E,igvf_017,L1
/dfs7/samlab/seyedam/IGVF/igvf_017/nextseq2/017_67F_S5_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_017/nextseq2/017_67F_S5_R2_001.fastq.gz,129S1_SvImJ,67F,igvf_017,L1
/dfs7/samlab/seyedam/IGVF/igvf_017/nextseq2/017_67G_S6_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_017/nextseq2/017_67G_S6_R2_001.fastq.gz,129S1_SvImJ,67G,igvf_017,L1
/dfs7/samlab/seyedam/IGVF/igvf_017/nextseq2/017_67H_S7_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_017/nextseq2/017_67H_S7_R2_001.fastq.gz,129S1_SvImJ,67H,igvf_017,L1
