fastq_r1,fastq_r2,strain,subpool,plate,lane
/dfs7/samlab/seyedam/IGVF/igvf_022/nova/ucightf1.biochem.uci.edu/Link1/240614_LH00444_0131_A22CHC7LT4/022_67E_S5_L006_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_022/nova/ucightf1.biochem.uci.edu/Link1/240614_LH00444_0131_A22CHC7LT4/022_67E_S5_L006_R2_001.fastq.gz,WSB_EiJ,67E,igvf_022,L006
/dfs7/samlab/seyedam/IGVF/igvf_022/nova/ucightf1.biochem.uci.edu/Link1/240614_LH00444_0131_A22CHC7LT4/022_67E_S5_L008_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_022/nova/ucightf1.biochem.uci.edu/Link1/240614_LH00444_0131_A22CHC7LT4/022_67E_S5_L008_R2_001.fastq.gz,WSB_EiJ,67E,igvf_022,L008
/dfs7/samlab/seyedam/IGVF/igvf_022/nova/ucightf1.biochem.uci.edu/Link1/240614_LH00444_0131_A22CHC7LT4/022_67F_S6_L001_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_022/nova/ucightf1.biochem.uci.edu/Link1/240614_LH00444_0131_A22CHC7LT4/022_67F_S6_L001_R2_001.fastq.gz,WSB_EiJ,67F,igvf_022,L001
/dfs7/samlab/seyedam/IGVF/igvf_022/nova/ucightf1.biochem.uci.edu/Link1/240614_LH00444_0131_A22CHC7LT4/022_67F_S6_L002_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_022/nova/ucightf1.biochem.uci.edu/Link1/240614_LH00444_0131_A22CHC7LT4/022_67F_S6_L002_R2_001.fastq.gz,WSB_EiJ,67F,igvf_022,L002
/dfs7/samlab/seyedam/IGVF/igvf_022/nova/ucightf1.biochem.uci.edu/Link1/240614_LH00444_0131_A22CHC7LT4/022_67F_S6_L003_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_022/nova/ucightf1.biochem.uci.edu/Link1/240614_LH00444_0131_A22CHC7LT4/022_67F_S6_L003_R2_001.fastq.gz,WSB_EiJ,67F,igvf_022,L003
/dfs7/samlab/seyedam/IGVF/igvf_022/nova/ucightf1.biochem.uci.edu/Link1/240614_LH00444_0131_A22CHC7LT4/022_67F_S6_L004_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_022/nova/ucightf1.biochem.uci.edu/Link1/240614_LH00444_0131_A22CHC7LT4/022_67F_S6_L004_R2_001.fastq.gz,WSB_EiJ,67F,igvf_022,L004
/dfs7/samlab/seyedam/IGVF/igvf_022/nova/ucightf1.biochem.uci.edu/Link1/240614_LH00444_0131_A22CHC7LT4/022_67F_S6_L005_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_022/nova/ucightf1.biochem.uci.edu/Link1/240614_LH00444_0131_A22CHC7LT4/022_67F_S6_L005_R2_001.fastq.gz,WSB_EiJ,67F,igvf_022,L005
/dfs7/samlab/seyedam/IGVF/igvf_022/nova/ucightf1.biochem.uci.edu/Link1/240614_LH00444_0131_A22CHC7LT4/022_67F_S6_L006_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_022/nova/ucightf1.biochem.uci.edu/Link1/240614_LH00444_0131_A22CHC7LT4/022_67F_S6_L006_R2_001.fastq.gz,WSB_EiJ,67F,igvf_022,L006
/dfs7/samlab/seyedam/IGVF/igvf_022/nova/ucightf1.biochem.uci.edu/Link1/240614_LH00444_0131_A22CHC7LT4/022_67F_S6_L008_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_022/nova/ucightf1.biochem.uci.edu/Link1/240614_LH00444_0131_A22CHC7LT4/022_67F_S6_L008_R2_001.fastq.gz,WSB_EiJ,67F,igvf_022,L008
/dfs7/samlab/seyedam/IGVF/igvf_022/nova/ucightf1.biochem.uci.edu/Link1/240614_LH00444_0131_A22CHC7LT4/022_67G_S7_L001_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_022/nova/ucightf1.biochem.uci.edu/Link1/240614_LH00444_0131_A22CHC7LT4/022_67G_S7_L001_R2_001.fastq.gz,WSB_EiJ,67G,igvf_022,L001
