fastq_r1,fastq_r2,strain,subpool,plate,lane
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_1_S1_L002_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_1_S1_L002_R2_001.fastq.gz,129S1_SvImJ,67A,igvf_019,L002
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_1_S1_L003_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_1_S1_L003_R2_001.fastq.gz,129S1_SvImJ,67A,igvf_019,L003
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_1_S1_L004_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_1_S1_L004_R2_001.fastq.gz,129S1_SvImJ,67A,igvf_019,L004
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_1_S1_L005_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_1_S1_L005_R2_001.fastq.gz,129S1_SvImJ,67A,igvf_019,L005
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_1_S1_L006_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_1_S1_L006_R2_001.fastq.gz,129S1_SvImJ,67A,igvf_019,L006
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_1_S1_L007_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_1_S1_L007_R2_001.fastq.gz,129S1_SvImJ,67A,igvf_019,L007
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_1_S1_L008_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_1_S1_L008_R2_001.fastq.gz,129S1_SvImJ,67A,igvf_019,L008
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240510_LH00444_0108_B22C2FVLT4/Sublibrary_1_S1_L008_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240510_LH00444_0108_B22C2FVLT4/Sublibrary_1_S1_L008_R2_001.fastq.gz,129S1_SvImJ,67A,igvf_019,L008
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_2_S2_L002_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_2_S2_L002_R2_001.fastq.gz,129S1_SvImJ,67B,igvf_019,L002
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_2_S2_L003_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_2_S2_L003_R2_001.fastq.gz,129S1_SvImJ,67B,igvf_019,L003
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_2_S2_L004_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_2_S2_L004_R2_001.fastq.gz,129S1_SvImJ,67B,igvf_019,L004
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_2_S2_L005_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_2_S2_L005_R2_001.fastq.gz,129S1_SvImJ,67B,igvf_019,L005
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_2_S2_L006_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_2_S2_L006_R2_001.fastq.gz,129S1_SvImJ,67B,igvf_019,L006
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_2_S2_L007_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_2_S2_L007_R2_001.fastq.gz,129S1_SvImJ,67B,igvf_019,L007
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_2_S2_L008_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_2_S2_L008_R2_001.fastq.gz,129S1_SvImJ,67B,igvf_019,L008
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240510_LH00444_0108_B22C2FVLT4/Sublibrary_2_S2_L008_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240510_LH00444_0108_B22C2FVLT4/Sublibrary_2_S2_L008_R2_001.fastq.gz,129S1_SvImJ,67B,igvf_019,L008
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_3_S3_L002_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_3_S3_L002_R2_001.fastq.gz,129S1_SvImJ,67C,igvf_019,L002
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_3_S3_L003_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_3_S3_L003_R2_001.fastq.gz,129S1_SvImJ,67C,igvf_019,L003
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_3_S3_L004_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_3_S3_L004_R2_001.fastq.gz,129S1_SvImJ,67C,igvf_019,L004
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_3_S3_L005_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_3_S3_L005_R2_001.fastq.gz,129S1_SvImJ,67C,igvf_019,L005
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_3_S3_L006_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_3_S3_L006_R2_001.fastq.gz,129S1_SvImJ,67C,igvf_019,L006
/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_3_S3_L007_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_019/nova/240514_LH00444_0111_A22C25HLT4/Sublibrary_3_S3_L007_R2_001.fastq.gz,129S1_SvImJ,67C,igvf_019,L007
