fastq_r1,fastq_r2,strain,subpool,plate,lane
/dfs7/samlab/seyedam/IGVF/igvf_009/nova1/Sublibrary_10_S9_L001_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_009/nova1/Sublibrary_10_S9_L001_R2_001.fastq.gz,129S1_SvImJ,67I,igvf_009,L001
/dfs7/samlab/seyedam/IGVF/igvf_009/nova1/Sublibrary_10_S9_L002_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_009/nova1/Sublibrary_10_S9_L002_R2_001.fastq.gz,129S1_SvImJ,67I,igvf_009,L002
/dfs7/samlab/seyedam/IGVF/igvf_009/nova1/Sublibrary_10_S9_L003_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_009/nova1/Sublibrary_10_S9_L003_R2_001.fastq.gz,129S1_SvImJ,67I,igvf_009,L003
/dfs7/samlab/seyedam/IGVF/igvf_009/nova1/Sublibrary_10_S9_L004_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_009/nova1/Sublibrary_10_S9_L004_R2_001.fastq.gz,129S1_SvImJ,67I,igvf_009,L004
/dfs7/samlab/seyedam/IGVF/igvf_009/nova2/Sublibrary_10_S9_L001_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_009/nova2/Sublibrary_10_S9_L001_R2_001.fastq.gz,129S1_SvImJ,67I,igvf_009,L001
/dfs7/samlab/seyedam/IGVF/igvf_009/nova2/Sublibrary_10_S9_L002_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_009/nova2/Sublibrary_10_S9_L002_R2_001.fastq.gz,129S1_SvImJ,67I,igvf_009,L002
/dfs7/samlab/seyedam/IGVF/igvf_009/nova2/Sublibrary_10_S9_L003_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_009/nova2/Sublibrary_10_S9_L003_R2_001.fastq.gz,129S1_SvImJ,67I,igvf_009,L003
/dfs7/samlab/seyedam/IGVF/igvf_009/nova2/Sublibrary_10_S9_L004_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_009/nova2/Sublibrary_10_S9_L004_R2_001.fastq.gz,129S1_SvImJ,67I,igvf_009,L004
/dfs7/samlab/seyedam/IGVF/igvf_009/nova1/Sublibrary_11_S10_L001_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_009/nova1/Sublibrary_11_S10_L001_R2_001.fastq.gz,129S1_SvImJ,67J,igvf_009,L001
/dfs7/samlab/seyedam/IGVF/igvf_009/nova1/Sublibrary_11_S10_L002_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_009/nova1/Sublibrary_11_S10_L002_R2_001.fastq.gz,129S1_SvImJ,67J,igvf_009,L002
/dfs7/samlab/seyedam/IGVF/igvf_009/nova1/Sublibrary_11_S10_L003_R1_001.fastq.gz,/dfs7/samlab/seyedam/IGVF/igvf_009/nova1/Sublibrary_11_S10_L003_R2_001.fastq.gz,129S1_SvImJ,67J,igvf_009,L003
